10.254.156.0/22
10.254.160.0/22
10.254.164.0/22
10.254.171.128/25
10.254.171.64/26
10.254.85.128/25
161.135.170.128/25
161.135.210.214/32
161.135.210.215/32
161.135.210.216/32
161.135.210.218/32
161.135.210.219/32
161.135.210.220/32
161.135.210.33/32
161.135.210.58/32
161.135.37.192/26
161.135.54.0/26
161.135.6.100/30
161.135.6.104/30
161.135.6.224/30
161.135.6.228/30
161.135.6.232/30
161.135.6.236/30
161.135.6.240/30
161.135.6.244/30
161.135.6.248/30
161.135.6.252/30
161.135.6.96/30
161.135.65.64/26
161.135.76.0/26
161.135.76.128/26
161.135.76.192/26
161.135.76.64/26
161.135.77.0/26
161.135.77.128/26
161.135.77.192/26
161.135.77.64/26
161.135.78.0/26
161.135.78.128/26
161.135.78.64/26
161.135.79.128/26
161.135.79.192/26
172.26.105.128/25
172.26.16.0/22
172.26.20.0/22
172.26.254.192/27
172.26.254.224/28
172.26.254.240/28
172.26.41.0/24
172.26.57.128/26
172.26.62.0/23
172.26.86.192/27
172.26.86.224/27
172.27.116.0/24
172.27.117.128/25
172.27.121.128/25
172.27.163.128/26
172.27.163.192/28
172.27.165.0/26
172.27.165.192/27
172.27.165.224/27
172.27.180.0/24
172.27.189.0/24
172.27.97.160/28
172.27.98.0/25
192.168.114.0/24
192.168.115.0/24
192.168.21.0/24
192.168.58.0/24
192.168.73.0/24
192.168.83.0/24
192.168.84.0/24
192.168.92.0/24
192.168.99.0/24
199.81.143.0/24
199.81.169.0/24
199.81.170.0/24
199.81.171.0/24
199.81.173.0/24
199.81.174.0/24
199.81.175.0/24
199.81.50.0/23
199.81.67.0/24
199.82.14.0/25
199.82.168.0/24
199.82.20.0/24
199.82.235.0/24
199.82.38.0/23
199.82.59.0/24
199.82.70.0/24
161.135.13.0/29
161.135.13.16/29
161.135.13.24/29
161.135.13.32/29
161.135.13.40/29
161.135.13.48/29
161.135.13.8/29
